,year,newchannelid,sold_to,sold_to_name,addrl1,city,zip,mat_class,slsid,slsname,revenue,License No.
90927,2022,IR,325990,US CLASS VI VANDENBERG,AFFEF BLDG 10317 VEND AF,LOMPOC,93437,Total,BP2,Joey Forner,33050.97,
90928,2022,IR,326000,US CLASS #4 STORE1037/ 70,"GIGGLING RD, BLDG 4235",SEASIDE,93955,Total,JT6,Tyler Salmonsen,22464.23,
90929,2022,IR,326052,CORTI BROS #1,5810 FOLSOM BLVD,SACRAMENTO,95819,Total,JS2,Donald Morisi,136591.36,373983
90930,2022,IR,326060,COUNTY CORK LIQUOR,1198 CALIMESA BLVD,CALIMESA,92320,Total,BR5,Jose Arciga,7708.83,425754
90931,2022,IR,326212,COASTSIDE MARKET,501 VIRGINIA AVE,MOSS BEACH,94038,Total,JT1,Justin Koury,40729.58,426571
90932,2022,IR,326286,DIABLO FOODS INC,3615 MT DIABLO BLVD,LAFAYETTE,94549,Total,JS3,Tri Pho,238866.84,33791
90933,2022,IR,326290,DIEKMANN'S BAY STORE,1275 HIGHWAY 1,BODEGA BAY,94923,Total,JP3,Seanpatrick Mcneely,3644.61,522243
90934,2022,IR,326311,DRAEGER'S MARKET,342 FIRST ST,LOS ALTOS,94022,Total,JT2,Rami Amireh,68780.68,190881
90935,2022,IR,326312,DRAEGER'S MARKET,1010 UNIVERSITY DRIVE,MENLO PARK,94025,Total,JT2,Rami Amireh,202320.66,13524
90936,2022,IR,326314,DRAEGER'S #3,222 E FOURTH AVE,SAN MATEO,94401,Total,JT2,Rami Amireh,70071.04,329614
90937,2022,IR,326315,DRAEGERS #3 BEER,222 E FOURTH AVE,SAN MATEO,94401,Total,JT2,Rami Amireh,33674.49,329614
90938,2022,IR,326372,VERUTTIS LIQUORS,1125 41ST AVE,CAPITOLA,95010,Total,JT5,Jessee Warren,42969.25,344643
90939,2022,IR,326378,WINE.COM,2756 ALVARADO ST,SAN LEANDRO,94577,Total,706,Karin Sandberg,3815413.42,627570
90940,2022,IR,326391,FORK LIFT BY NUGGET MARKET,3333 COACH LANE,CAMERON PARK,95682,Total,JS2,Donald Morisi,81354.11,380889
90941,2022,IR,326436,FOOD 4 LESS,1465 CRESTON RD,PASO ROBLES,93446,Total,BP3,House-Bp3,27725.52,443750
90942,2022,IR,326579,FERRY PLAZA WINE MERCHNT,"ONE FERRY BLDG, #23",SAN FRANCISCO,94111,Total,JR6,Doo Chi,15231,398938
90943,2022,IR,326609,GERRARD'S MARKET,705 W CYPRESS ST,REDLANDS,92373,Total,BR4,Chandra Pulicari,97060.26,355898
90944,2022,IR,326654,"GOOD LIFE GROCERY, THE",448 CORTLAND AVENUE,SAN FRANCISCO,94110,Total,JR5,Roberta Lafrance,84553.36,259176
90945,2022,IR,326665,GRAPEVINE,6-8 B CARMEL VALLEY RD,CARMEL VALLEY,93924,Total,JT6,Tyler Salmonsen,6086.12,38507
90946,2022,IR,326771,HOLIDAY MARKET 34,311 OTTERSON DRIVE,CHICO,95928,Total,624,Scott Sullwold,67302.29,335715
90947,2022,IR,326771,HOLIDAY QUALITY FOODS,311 OTTERSON DRIVE,CHICO,95928,Total,624,Scott Sullwold,82103.73,335715
90948,2022,IR,326837,HOUSTON LIQUOR,485 AVE OF FLAGS,BUELLTON,93427,Total,BP2,Joey Forner,9481.08,565620
90949,2022,IR,326838,HOLIDAY WINE CELLAR,302 W MISSION AVE,ESCONDIDO,92025,Total,BR1,Kevin Shelton,185548.2,7375
90950,2022,IR,326876,IOWA MEAT FARM,6041 MISSION GORGE RD,SAN DIEGO,92120,Total,BRB,Jesse Palmer,5858.19,147384
90951,2022,IR,326914,JENSEN'S COMPLETE SHOP,73601 HWY 111,PALM DESERT,92260,Total,BR5,Jose Arciga,83083.85,144512
90952,2022,IR,326915,JENSENS COMPLETE SHPPG,2465 E PALM CANYON DR BL,PALM SPRINGS,92264,Total,BR5,Jose Arciga,94079.32,464249
90953,2022,IR,326918,JENSENS MINUTE SHOP,211 N STATE HWY 173,CEDAR GLEN,92321,Total,BR5,Jose Arciga,1075.5,309206
90954,2022,IR,326919,JENSEN'S COMPLETE SHOP,27264 HWY 189,BLUE JAY,92317,Total,BR5,Jose Arciga,53014.04,20077
90955,2022,IR,326920,JENSEN'S FINEST FOODS,1340 HWY 2,WRIGHTWOOD,92397,Total,BR4,Chandra Pulicari,47924.56,319602
90956,2022,IR,326932,JOSEPH GEORGE,1559 MERIDIAN AVE,SAN JOSE,95125,Total,JT4,Lara Nevin,127225,328024
90957,2022,IR,327015,KEY MARKET #1,1063 UPTON ST,REDWOOD CITY,94061,Total,JT2,Rami Amireh,20187.07,72691
90958,2022,IR,327034,K & L WINE MERCHANTS-SAN CARLO,920 BING STREET,SAN CARLOS,94070,Total,706,Karin Sandberg,544718.24,526175
90959,2022,IR,327035,K & L WINE MERCHANT-SF,855 HARRISON ST,SAN FRANCISCO,94107,Total,706,Karin Sandberg,343797.67,547841
90960,2022,IR,327061,LAKESIDE BEVERAGE,"7130 DOUGLAS BLVD, #A",GRANITE BAY,95746,Total,JS7,Addison Morphy,18626.27,354978
90961,2022,IR,327065,LAKEVIEW MARKET,40133 BIG BEAR BLVD,BIG BEAR,92315,Total,BR5,Jose Arciga,3079.52,632723
90962,2022,IR,327078,LA QUINTA LIQUOR & DELI,78025 AVENIDA LA FONDA,LA QUINTA,92253,Total,BR5,Jose Arciga,11278.57,463645
90963,2022,IR,327148,LOS OLIVOS COUNTRY STORE +,2948 GRAND AVE,LOS OLIVOS,93441,Total,BP2,Joey Forner,6077,468552
90964,2022,IR,327191,LUNARDI`S #02 C02025,100 SKYCREST CENTER,SAN BRUNO,94066,Total,JT1,Justin Koury,26432.14,109002
90965,2022,IR,327192,LUNARDI`S #3 C02025 ++,720 BLOSSOM HILL RD,LOS GATOS,95030,Total,JT7,James Rinfret,209261.24,147637
90966,2022,IR,327193,LUNARDI`S #4 C02025,4650 MERIDIAN AVENUE,SAN JOSE,95124,Total,JT7,James Rinfret,31986.65,219180
90967,2022,IR,327194,LUNARDI`S #5 C02025,1085 ALAMEDA DE ALPUGAS,BELMONT,94002,Total,JT1,Justin Koury,59442.53,270410
90968,2022,IR,327195,LUNARDI'S #06 C02025,1600 PALOS VERDES S/C,WALNUT CREEK,94556,Total,JS3,Tri Pho,189398.06,322941
