,year,newchannelid,sold_to,sold_to_name,addrl1,city,zip,mat_class,slsid,slsname,revenue,License No.
95675,2022,OP,325820,CHILI'S GRILL & BAR #0882,2620 SEPULVEDA BLVD #B,MANHATTAN BEACH,90266,Total,SNA,South Natl Accounts,1650,392996
95676,2022,OP,325823,CHILI'S GRILL & BAR #0169,12525 FREDERICK ST,MORENO VALLEY,92553,Total,SNA,South Natl Accounts,800.28,298347
95677,2022,OP,325825,CHILI'S GRILL & BAR #0562,1411 W KATELLA AVE,ORANGE,92867,Total,SNA,South Natl Accounts,1560,334264
95678,2022,OP,325827,CHILI'S GRILL & BAR #0391,2221 N ROSE AVE,OXNARD,93036,Total,SNA,South Natl Accounts,857.28,298078
95679,2022,OP,325829,CHILI'S GRILL & BAR #0225,1021 W RANCHO VISTA BLVD,PALMDALE,93551,Total,SNA,South Natl Accounts,710.28,443407
95680,2022,OP,325832,CHILI'S GRILL & BAR #1141,8890 WASHINGTON BLVD,PICO RIVERA,90660,Total,SNA,South Natl Accounts,1122,432787
95681,2022,OP,325834,CHILI'S GRILL & BAR #0197,10598 FOOTHILL BLVD,RANCHO CUCAMONGA,91730,Total,SNA,South Natl Accounts,1263,298348
95682,2022,OP,325836,CHILI'S GRILL & BAR #0026,17588 CASTLETON ST,CITY OF INDUSTRY,91744,Total,SNA,South Natl Accounts,759,373958
95683,2022,OP,325840,CHILI'S GRILL & BAR #0076,4252 CAMINO DEL RIO NORT,SAN DIEGO,92108,Total,SNA,South Natl Accounts,1950,298344
95684,2022,OP,325842,CHILI'S GRILL & BAR #0226,25 W COCHRAN ST,SIMI VALLEY,93065,Total,SNA,South Natl Accounts,2040,298343
95685,2022,OP,325843,TRATTORIA ULIVETO,285 S BROADWAY,ORCUTT,93455,Total,342,Nolan Wagoner,5086.36,469866
95686,2022,OP,325845,CHILI'S GRILL & BAR #0282,27645 YNEZ RD,TEMECULA,92591,Total,SNA,South Natl Accounts,2003.28,273918
95687,2022,OP,325849,CHILI'S GRILL & BAR #0315,21835 HAWTHORNE BLVD,TORRANCE,90503,Total,SNA,South Natl Accounts,1407,448158
95688,2022,OP,325854,CHILI'S GRILL & BAR #0050,2929 EAST GARVEY,WEST COVINA,91791,Total,SNA,South Natl Accounts,585,298351
95689,2022,OP,325859,CHILI'S GRILL & BAR #0133,18380 YORBA LINDA BLVD,YORBA LINDA,92886,Total,SNA,South Natl Accounts,2741.28,298362
95690,2022,OP,325860,CHILI'S GRILL & BAR #0789,3670 GRAND AVE,CHINO HILLS,91709,Total,SNA,South Natl Accounts,1646.28,380707
95691,2022,OP,325861,WOLFDALE'S RESTAURANT,640 NO LAKE BLVD,TAHOE CITY,96145,Total,37E,Audra Zapata,9921,198177
95692,2022,OP,325863,CHILI'S GRILL & BAR #0876,17240 VENTURA BLVD,ENCINO,91316,Total,SNA,South Natl Accounts,1885.24,398638
95693,2022,OP,325865,CHILI'S GRILL & BAR #1169,29233 CENTRAL AVE,LAKE ELSINORE,92532,Total,SNA,South Natl Accounts,2222.28,432169
95694,2022,OP,325867,CHILI'S GRILL & BAR #0453,25970 THE OLD RD,STEVENSON RANCH,91351,Total,SNA,South Natl Accounts,2528.28,449030
95695,2022,OP,325868,WOODY'S WHARF,2318 NEWPORT BLVD,NEWPORT BEACH,92663,Total,312,Marissa Oudt,108582.66,425424
95696,2022,OP,325869,CHILI'S GRILL & BAR #0701,10184 SCRIPPS POWAY PKWY,SAN DIEGO,92131,Total,SNA,South Natl Accounts,2315.28,370001
95697,2022,OP,325871,CHILI'S GRILL & BAR #0712,4261 FIRST ST,LIVERMORE,94550,Total,NNA,North Natl Accounts,2786.28,370052
95698,2022,OP,325878,CHILI'S GRILL & BAR #1056,9393 MONTE VISTA AVE,MONTCLAIR,91763,Total,SNA,South Natl Accounts,873,418899
95699,2022,OP,325888,CHEZ MAMAN,1401 18TH ST,SAN FRANCISCO,94107,Total,616,Russ Natalie,21714.21,556788
95700,2022,OP,325890,WILLOW WOOD MARKET,9020 GRATON RD,GRATON,95444,Total,JP3,Seanpatrick Mcneely,3414.98,368845
95701,2022,OP,325894,YAMATANI JAPANESE REST (DE),635 N MAIN ST,BISHOP,93514,Total,34D,Lauren Jenks,2764,425072
95702,2022,OP,325895,CHILI'S GRILL & BAR #0952,3494 SPORTS ARENA BLVD,SAN DIEGO,92110,Total,SNA,South Natl Accounts,1989,405252
95703,2022,OP,325899,YARD HOUSE / IRVINE SPECTRUM,71 FORTUNE DR SPC 55,IRVINE,92618,Total,31K,Michelle Mcclelland,127348,436238
