Customer Name,Address,City,State,Zip,Premise,TDLinx Code,Sold to,Licence No.,Channel / Trad Channel,Sub-Channel / Sub Trade Channel,IN SPECTRA,IN GALLO,IN WW
COSTCO WHOLESALE      686,9404 CENTRAL AVE,MONTCLAIR,CA,91763,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      643,4900 PANAMA LN,BAKERSFIELD,CA,93313,Off-Premise,,364559,,,,False,False,True
COSTCO BUSINESS CENTER      947,3680 E GUASTI RD,ONTARIO,CA,91761,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      472,1339 N DAVIS RD,SALINAS,CA,93907,Off-Premise,,364559,,,,False,False,True
COSTCO BUSINESS CENTER      823,22330 HATHAWAY AVE,HAYWARD,CA,94541,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1317,5030 HAMNER AVE,EASTVALE,CA,91752,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      678,11800 4TH ST,RANCHO CUCAMONGA,CA,91730,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      778,43621 PACIFIC COMMONS BLVD,FREMONT,CA,94538,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     6619,951 N MILLIKEN AVE,ONTARIO,CA,91764,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1071,13550 PAXTON ST,PACOIMA,CA,91331,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      627,16505 SIERRA LAKES PKWY,FONTANA,CA,92336,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      473,13111 PEYTON DR,CHINO HILLS,CA,91709,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      148,2201 SENTER RD,SAN JOSE,CA,95112,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      781,1130 BROADWAY,CHULA VISTA,CA,91911,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      126,11000 GARDEN GROVE BLVD,GARDEN GROVE,CA,92843,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1061,28505 HESPERIAN BLVD,HAYWARD,CA,94545,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      428,2207 W COMMONWEALTH AVE,ALHAMBRA,CA,91803,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      410,12324 HOXIE AVE,NORWALK,CA,90650,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1004,1709 AUTOMATION PKWY,SAN JOSE,CA,95131,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      121,2030 N IMPERIAL AVE,EL CENTRO,CA,92243,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     6614,4901 SANTA ANITA AVE,EL MONTE,CA,91731,Off-Premise,,364559,,,,False,False,True
COSTCO BUSINESS CENTER      848,2376 S EVERGREEN LOOP,SAN JOSE,CA,95122,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     6617,1399 W ARTESIA BLVD,GARDENA,CA,90248,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      679,17550 CASTLETON ST,ROWLAND HEIGHTS,CA,91748,Off-Premise,,364559,,,,False,False,True
COSTCO BUSINESS CENTER      564,12530 PRAIRIE AVE,HAWTHORNE,CA,90250,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1318,2000 MARKET PLACE DR,MONTEREY PARK,CA,91755,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     6626,5871 FIRESTONE BLVD,SOUTH GATE,CA,90280,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      769,3560 W CENTURY BLVD,INGLEWOOD,CA,90303,Off-Premise,,364559,,,,False,False,True
COSTCO BUSINESS CENTER      569,6333 TELEGRAPH RD,COMMERCE,CA,90040,Off-Premise,,364559,,,,False,False,True
SIPS,599 N LAKE BLVD,TAHOE CITY,CA,96145,Off-Premise,,364559,,,,False,False,True
BAL HARBOR LIQUOR,510 E BALBOA BLVD,NEWPORT BEACH,CA,92661,Off-Premise,,364559,,,,False,False,True
BOTTLE SHOP,11963 NEVADA CITY HWY,GRASS VALLEY,CA,95945,Off-Premise,,364559,,,,False,False,True
